Headline,Source,URL,word_count,unique_words,type_token_ratio,exclamation_count,question_count,comma_count,Polarity,Subjectivity
"Epstein's accountant says he didn't see any 'red flags' for abuse, trafficking",ABC,,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0
State lawmakers rush to set rounding rules for when there are no pennies,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
Trump administration opens investigation into Arizona’s 2020 election results,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Democrat Shawn Harris and Trump-endorsed Clay Fuller advance to runoff in Georgia: AP,ABC,,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
"Hacker accessed FBI server that included Epstein files in 2023, files suggest",ABC,,11.0,10.0,0.9090909090909091,0.0,0.0,1.0,0.0,0.0
"In Massie's Kentucky district, Trump attacks GOP congressman as 'disloyal to America'",ABC,,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0
Dems call for probe into 'troubling pattern' of legal wins for Pam Bondi's brother,ABC,,14.0,13.0,0.9285714285714286,0.0,0.0,0.0,0.25,0.2
Jill Biden opens up in memoir about Joe Biden's decision to end reelection bid,ABC,,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
Trump says he and Vance are 'philosophically' different on Iran war,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.6
US-Israel strike Iran,ABC,,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
Message from Iran's new supreme leader 'doesn't show strength': Former DHS official,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.06818181818181818,0.22727272727272727
1st purported message from Iran's new supreme leader read on state TV,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
Drone attack on US 'not plausible': Former DHS official,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,-0.125,0.25
FBI warns Iran aspires to threaten US West Coast with drones,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
"Iran's attack on oil infrastructure is working, defense analyst says",ABC,,10.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0
Ships struck near Strait of Hormuz as Iran threatens security of key oil passage,ABC,,14.0,13.0,0.9285714285714286,0.0,0.0,0.0,0.05,0.7
Trump says US has 'won' war in Iran but has to 'finish the job',ABC,,14.0,13.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0
Sen. Slotkin: No winning Iran war if we ‘don't totally know what the objectives were',ABC,,15.0,15.0,1.0,0.0,0.0,0.0,-0.125,0.75
The geopolitical impact of Iran's new supreme leader,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
What to know about 'black rain' that fell on Iran after strikes on oil reserves,ABC,,15.0,14.0,0.9333333333333333,0.0,0.0,0.0,-0.16666666666666666,0.43333333333333335
Iran attacks ships in critical Strait of Hormuz as war intensifies,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.8
"Conflict sees significant escalation between Hezbollah, Israel",ABC,,7.0,7.0,1.0,0.0,0.0,1.0,0.375,0.875
War in Iran: Former defense official breaks down US response and strategy,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,-0.07777777777777778,0.14444444444444446
Former Homeland Security official on guarding against threats to US,ABC,,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
Congressman says US troops are 'extremely prepared' for Iranian drone attacks,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,-0.125,1.0
Oksana Masters becomes most decorated US Winter Paralympian of all time,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.5,0.5
Trending Stories,ABC,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
FBI warns Iran aspired to attack California with drones in retaliation for war: Alert,ABC,,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
Active shooting incident at synagogue in Michigan; suspect dead,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,-0.16666666666666669,0.5
"2 injured, gunman dead in shooting at Old Dominion University, school says",ABC,,11.0,11.0,1.0,0.0,0.0,2.0,-0.05,0.30000000000000004
12-year-old girl dies days after collapsing following fight near school bus stop,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.05,0.25
"Stocks tumble, oil prices rise as Iran attacks key shipping route",ABC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0
Woman with Stage 4 cancer has 'no evidence of disease' after life-changing transplant,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
Young Hollywood turns out for Vanity Fair's Vanities Party ahead of 2026 Oscars,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.39999999999999997,0.65
Who will be the big winners at the 2026 Oscars?,ABC,,9.0,8.0,0.8888888888888888,0.0,1.0,0.0,0.0,0.1
Tamron Hall talks 2026 Oscars red carpet prep,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
More from the Oscars,ABC,,4.0,4.0,1.0,0.0,0.0,0.0,0.5,0.5
Film critic Richard Roeper's Oscar predictions,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
Oscars 2026: Everything to know about the 98th Academy Awards,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Oscars 2026: Potential history-making wins to watch for at the Academy Awards,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.15,0.6
Oscars 2026: How to watch the best picture nominees,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,1.0,0.3
How to watch and stream the 2026 Oscars,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
Oscar nominations 2026: Full list of nominees,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,0.35,0.55
Oscars 2026: What to know about the 5 best actress nominees,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,1.0,0.3
Oscars 2026: What to know about the 5 best actor nominees,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,1.0,0.3
Why this year's Oscars are so unpredictable,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,-0.16666666666666666,1.0
How 'Sinners' cinematographer could shatter a glass ceiling at the 2026 Oscars,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
FBI assisting in search for missing retired Air Force major general,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,-0.029166666666666664,0.35000000000000003
Is Atlanta still the ‘Hollywood of the South’? A film boomtown faces a test,ABC,,14.0,12.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.0
Winter whiplash plunges temperatures along the East Coast,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
"TSA officer callouts up since start of shutdown, DHS reactivates Global Entry",ABC,,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0
Woman with Stage 4 cancer has 'no evidence of disease' after life-changing transplant,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
Why authorities are finally searching Epstein's ranch in New Mexico,ABC,,10.0,10.0,1.0,0.0,0.0,0.0,0.06818181818181818,0.7272727272727273
Head priest of Episcopal Church accused of stealing baseball cards from Walmart,ABC,,12.0,11.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0
"11-year-old arrested, faces charges in murder of 5-year-old brother",ABC,,11.0,9.0,0.8181818181818182,0.0,0.0,1.0,0.0,0.0
Hockey player who lost family in Rhode Island shooting scores winning goal,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.5,0.75
Caitlin Clark returns from injury to help US rout Senegal in qualifying tournament,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
Service dog named Alfred sparks Lyft settlement in Minnesota with nationwide reach,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
"Invasive giant reptile is thriving in Florida's climate, invading its ecosystem",ABC,,11.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0
New person of interest identified in case of girl who disappeared in 1984,ABC,,12.0,10.0,0.8333333333333334,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
Teen charged in teacher’s death from prank gone wrong speaks out,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,-0.25,0.45
"Refresh your space for spring! Shop deals on furniture, mattresses and appliances",ABC,,12.0,12.0,1.0,1.0,0.0,1.0,0.0,0.0
Daily deals: 10 deals to shop starting at 40% off,ABC,,8.0,7.0,0.875,0.0,0.0,0.0,0.0,0.05
"11 essential white T-shirts for spring, starting at less than $10",ABC,,10.0,10.0,1.0,0.0,0.0,1.0,-0.041666666666666664,0.11666666666666667
'GMA' Deals & Steals for everyday glam,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,-0.2,0.6
"Dress clothes for kids: Dresses, jumpsuits, shirts, suits and more",ABC,,10.0,10.0,1.0,0.0,0.0,3.0,0.5,0.5
"Top gifts for tween and teen boys: Clothes, toys and more",ABC,,11.0,10.0,0.9090909090909091,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
Celebrate 100 years of Winnie The Pooh: Shop collaborations from Popsockets and more,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.5,0.5
"Shop top women's shorts from Macy's, Athleta and more",ABC,,9.0,9.0,1.0,0.0,0.0,1.0,0.5,0.5
Expert tips for crafting the ultimate Easter basket,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0
McDonald's latest move in the fast-food wars,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,0.5,0.9
Inflation held steady in February before war with Iran sent gas prices surging,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.5
Meta acquires 'Moltbook' AI social media app,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,0.03333333333333333,0.06666666666666667
"Panera debuts new Energy Refresher, plus more low and no-sugar beverages for spring",ABC,,14.0,14.0,1.0,0.0,0.0,1.0,0.21212121212121213,0.4181818181818182
Civil rights lawyer will lead eBay founder's philanthropy for more inclusive AI,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.5,0.5
"As another shutdown impacts travelers, some see eliminating TSA agents as a solution",ABC,,13.0,12.0,0.9230769230769231,0.0,0.0,1.0,0.0,0.0
China's auto sales sink in Feb as phase out of subsidies for trade-ins hits demand,ABC,,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
New permanent exhibition shows plaster casts of Pompeii victims,ABC,,9.0,9.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
Israel prepares to expand activity in Lebanon as conflict with Hezbollah escalates,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
S. Korean lawmakers pass law to manage Seoul's pledge of $350B in US investments,ABC,,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
Hungary to declassify security report as PM claims Ukraine illegally funding opponent,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,-0.5,0.5
China positions itself as force for global stability at its annual Congress,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
"Young Cubans turn to church and state as cheap, synthetic drugs flood the streets",ABC,,14.0,14.0,1.0,0.0,0.0,1.0,0.25,0.55
Verstappen sees 'a jungle' in F1 but still hopes for 'simple solutions',ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.35714285714285715
Good Morning America,ABC,,3.0,3.0,1.0,0.0,0.0,0.0,0.7,0.6000000000000001
"Nicole Kidman, Jamie Lee Curtis talk friendship, new thriller 'Scarpetta'",ABC,,10.0,10.0,1.0,0.0,0.0,2.0,0.13636363636363635,0.45454545454545453
Jennifer Lopez says she ‘feels free’ for 1st time in her life,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.4,0.8
"Woman reunites with missing cat after 1 year, urges others to microchip pets",ABC,,12.0,12.0,1.0,0.0,0.0,1.0,-0.2,0.05
AI-generated 'actress' appears in new music video addressing public backlash,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.06818181818181818,0.2606060606060606
Experts weigh in as more beauty brands market makeup for kids as young as 3,ABC,,14.0,12.0,0.8571428571428571,0.0,0.0,0.0,0.3,0.45
Kathryn Hahn cast as Mother Gothel in live-action 'Tangled' film,ABC,,11.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
Miley Cyrus stars as Hannah Montana in video for show's 20th anniversary special,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.17857142857142858,0.2857142857142857
"High-protein, plant-based recipes from Robin Arzón's new cookbook",ABC,,11.0,11.0,1.0,0.0,0.0,1.0,0.13636363636363635,0.45454545454545453
Valerie Bertinelli talks new memoir,ABC,,5.0,5.0,1.0,0.0,0.0,0.0,0.13636363636363635,0.45454545454545453
"Bruno Mars' 'The Romantic' debuts at No. 1, with single 'I Just Might' on Billboard",ABC,,14.0,14.0,1.0,0.0,0.0,1.0,-0.03571428571428571,0.35714285714285715
"Liza Minnelli talks new memoir, famous parents, turning 80 and more",ABC,,10.0,10.0,1.0,0.0,0.0,2.0,0.37878787878787873,0.6515151515151515
How to watch and stream the 2026 Oscars,ABC,,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
"Timothée Chalamet faces criticism for opera, ballet comments ahead of Oscars",ABC,,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0
Middle East conflict: Slideshow,ABC,,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
The most memorable moments from the Oscars,ABC,,7.0,6.0,0.8571428571428571,0.0,0.0,0.0,0.5,0.75
Best Oscar fashion through the years,ABC,,6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.3
"EGOT winners: Stars who have an Emmy, a Grammy, an Oscar and a Tony",ABC,,14.0,12.0,0.8571428571428571,0.0,0.0,2.0,0.0,0.0
The delayed echo of measles: a rare but fatal complication,ABC,,10.0,10.0,1.0,0.0,0.0,0.0,0.3,0.9
"Is allergy season worse this year? What to know, how to get relief",ABC,,13.0,12.0,0.9230769230769231,0.0,1.0,1.0,-0.4,0.6
Many military members may get care at vulnerable hospitals: Analysis,ABC,,10.0,10.0,1.0,0.0,0.0,0.0,-0.033333333333333326,0.3666666666666667
King penguins are benefiting from a warming world. But that could change,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
Wildflowers are blooming in the driest place in North America — but not for long,ABC,,14.0,13.0,0.9285714285714286,0.0,0.0,0.0,-0.05,0.4
This is how much ice Antarctica has lost over the last 30 years,ABC,,12.0,12.0,1.0,0.0,0.0,0.0,0.1,0.13333333333333333
Lawyers in landmark social media addiction trial make final appeals to the jury,ABC,,13.0,13.0,1.0,0.0,0.0,0.0,0.016666666666666666,0.5333333333333333
Old NASA science satellite plunges back to Earth,ABC,,8.0,8.0,1.0,0.0,0.0,0.0,0.05,0.1
"Microsoft backs Anthropic, urging judge to halt Pentagon's actions against AI company",ABC,,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0
Download the ABC News App,ABC,,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
Reports of active shooter at Detroit-area synagogue containing school,CNN,,10.0,10.0,1.0,0.0,0.0,0.0,-0.13333333333333333,0.6
See the scene outside synagogue,CNN,,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.05
Iran’s new supreme leader says key oil route will remain closed,CNN,,12.0,12.0,1.0,0.0,0.0,0.0,0.012121212121212116,0.5181818181818182
Iran supreme leader’s first purported message leaves a major question unanswered,CNN,,12.0,12.0,1.0,0.0,0.0,0.0,0.07083333333333333,0.3444444444444444
Israel raises specter of major Lebanon ground operation,CNN,,8.0,8.0,1.0,0.0,0.0,0.0,0.0625,0.5
‘Boom Boom’ US propaganda vs. the emerging Iran war reality,CNN,,10.0,9.0,0.9,0.0,0.0,0.0,-0.1,0.1
Iranian regime issues chilling threats to its citizens,CNN,,8.0,8.0,1.0,0.0,0.0,0.0,-0.5,0.9
How Iran turned the Gulf waters into a weapon,CNN,,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
Robert Irwin talks about how he’s able to still ‘feel’ his dad,CNN,,13.0,13.0,1.0,0.0,0.0,0.0,0.5,0.625
28-year-old man donates part of his brain for research,CNN,,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
"As Hollywood celebrates the Oscars, experts delve into the high-stakes world of award season",CNN,,15.0,14.0,0.9333333333333333,0.0,0.0,1.0,0.0,0.0
Catch up on today’s headlines,CNN,,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
"2 injured and gunman dead after shooting at Old Dominion University in Virginia, school says",CNN,,14.0,14.0,1.0,0.0,0.0,1.0,-0.05,0.30000000000000004
